iter	RMSE
0	3902.952704
1	3829.596497
2	3756.549469
3	3686.759455
4	3616.678609
5	3548.310274
6	3481.806738
7	3417.230797
8	3353.073824
9	3290.235702
10	3228.908
11	3169.174184
12	3111.389774
13	3054.171693
14	2998.987175
15	2944.325839
16	2890.697504
17	2838.002075
18	2786.547711
19	2736.869263
20	2687.697556
21	2640.026629
22	2593.422094
23	2547.620111
24	2502.253826
25	2458.090357
26	2414.437215
27	2371.610846
28	2330.540139
29	2290.358945
30	2251.140966
31	2212.599376
32	2174.71365
33	2137.656278
34	2101.203091
35	2065.983976
36	2031.723601
37	1997.560049
38	1964.73667
39	1932.850863
40	1901.562258
41	1870.317792
42	1840.155695
43	1810.445789
44	1781.256636
45	1752.980391
46	1725.553029
47	1698.403703
48	1671.423863
49	1645.434882
50	1619.766862
51	1595.190741
52	1570.866517
53	1547.496095
54	1524.158537
55	1501.424372
56	1479.058148
57	1457.316391
58	1435.932005
59	1415.633032
60	1395.418704
61	1375.672951
62	1356.132828
63	1337.207836
64	1318.884542
65	1300.427396
66	1282.628347
67	1265.791952
68	1249.291885
69	1233.172812
70	1216.972744
71	1201.059076
72	1185.64822
73	1170.732222
74	1155.598515
75	1141.442398
76	1127.51055
77	1113.787788
78	1100.418445
79	1087.449844
80	1074.514721
81	1061.95884
82	1050.308236
83	1039.013165
84	1027.809575
85	1016.096807
86	1005.117536
87	994.154443
88	984.130635
89	973.8068032
90	964.0726508
91	954.8137434
92	945.3643864
93	935.8260941
94	926.8584909
95	918.4014974
96	910.111176
97	901.6504609
98	893.3718892
99	885.0472353
100	877.5042667
101	870.0053193
102	862.8153141
103	855.68142
104	848.8324909
105	842.0908953
106	835.4074343
107	828.7740213
108	822.0759493
109	815.7987826
110	809.6028259
111	803.6612457
112	798.0049354
113	792.5394441
114	787.0438935
115	781.6697962
116	776.3309576
117	771.1456111
118	766.2845373
119	761.6769728
120	756.8229909
121	752.2985133
122	747.8631913
123	743.3337516
124	738.8451642
125	734.6534775
126	730.6167557
127	726.5212471
128	722.3801828
129	718.4166805
130	714.6250587
131	711.0019456
132	707.4539281
133	703.8571194
134	700.3552163
135	696.973332
136	693.7691441
137	690.5030934
138	687.2942705
139	684.0857017
140	681.1047001
141	678.2040087
142	675.3470597
143	672.4207442
144	669.624097
145	666.970001
146	664.3441791
147	661.7364694
148	659.1171355
149	656.5575805
150	654.1579471
151	651.7178956
152	649.4626141
153	647.2219845
154	644.8936012
155	642.7403016
156	640.5984382
157	638.4574316
158	636.3696422
159	634.3613668
160	632.4232752
161	630.6540298
162	628.8457914
163	627.156583
164	625.2693402
165	623.5277009
166	621.6940072
167	620.0074527
168	618.364165
169	616.6558018
170	615.0194643
171	613.587734
172	611.9928641
173	610.6057139
174	609.0438982
175	607.8062287
176	606.3277701
177	604.8204009
178	603.4630261
179	602.2244587
180	600.8158299
181	599.504349
182	598.2318692
183	596.9684143
184	595.6951673
185	594.5747085
186	593.3495132
187	592.1878027
188	590.9161166
189	589.8292816
190	588.6224217
191	587.4657268
192	586.3968623
193	585.4834079
194	584.4050816
195	583.3457052
196	582.4272921
197	581.3994567
198	580.4329097
199	579.4695674
200	578.5186427
201	577.6340083
202	576.7297108
203	575.7643351
204	574.9305643
205	574.0353622
206	573.2825554
207	572.4170159
208	571.5090473
209	570.7965529
210	570.0723152
211	569.2676238
212	568.5666807
213	567.8000019
214	566.9728087
215	566.2517815
216	565.6157913
217	564.8267167
218	564.1201413
219	563.3184267
220	562.6399091
221	561.9707741
222	561.3423929
223	560.6608636
224	559.9313784
225	559.3195903
226	558.7675595
227	558.2264458
228	557.7273994
229	557.2549222
230	556.6708706
231	556.1140919
232	555.4595197
233	554.8967716
234	554.4437356
235	553.8134459
236	553.266008
237	552.7017303
238	552.146766
239	551.6666793
240	551.1790928
241	550.6142926
242	550.1327013
243	549.6603023
244	549.2127549
245	548.8392577
246	548.3599989
247	547.7985504
248	547.3235171
249	546.8675175
250	546.4486866
251	546.0216624
252	545.6617815
253	545.2469247
254	544.7208755
255	544.3305879
256	543.8520788
257	543.4065233
258	543.0143556
259	542.5869802
260	542.1360693
261	541.8606263
262	541.5046952
263	541.1516964
264	540.7929827
265	540.4594555
266	540.0163329
267	539.6711632
268	539.2502359
269	538.8663144
270	538.488431
271	538.0310391
272	537.6759578
273	537.3672286
274	537.0156469
275	536.6109813
276	536.3178688
277	535.9703401
278	535.614176
279	535.2254362
280	534.9012022
281	534.5331374
282	534.1699109
283	533.758818
284	533.398497
285	533.0546232
286	532.7483176
287	532.4566913
288	532.1273787
289	531.796494
290	531.4525207
291	531.2376635
292	530.838154
293	530.4198179
294	530.0520143
295	529.6964992
296	529.454718
297	529.2007163
298	528.8717233
299	528.5578047
300	528.3091992
301	528.0794537
302	527.8206147
303	527.4385259
304	527.160704
305	526.8570214
306	526.5095068
307	526.2025218
308	525.9064329
309	525.6564371
310	525.3387247
311	525.123845
312	524.9313417
313	524.632239
314	524.4098014
315	524.0828018
316	523.8044736
317	523.5414773
318	523.3068098
319	523.1216713
320	522.8957567
321	522.6230937
322	522.3834303
323	522.1350075
324	521.8536105
325	521.50259
326	521.2277954
327	520.9323049
328	520.6047277
329	520.3564208
330	520.1059908
331	519.9303125
332	519.700076
333	519.4538528
