iter	Passed	Remaining
0	5	6411
1	8	4768
2	10	4092
3	13	3870
4	15	3644
5	17	3495
6	20	3428
7	22	3380
8	25	3336
9	27	3244
10	29	3199
11	32	3168
12	35	3187
13	37	3176
14	40	3158
15	42	3122
16	44	3087
17	46	3066
18	49	3068
19	51	3042
20	54	3040
21	56	3027
22	59	3003
23	61	3000
24	64	2999
25	67	3007
26	69	3004
27	72	3017
28	74	2999
29	76	2981
30	79	2969
31	82	2982
32	84	2973
33	87	2972
34	89	2968
35	92	2962
36	94	2959
37	97	2965
38	99	2949
39	102	2941
40	104	2942
41	107	2953
42	110	2945
43	112	2938
44	116	2960
45	118	2958
46	121	2957
47	123	2953
48	126	2946
49	128	2943
50	131	2951
51	133	2939
52	136	2936
53	138	2926
54	140	2914
55	143	2905
56	145	2899
57	148	2904
58	150	2895
59	153	2890
60	155	2881
61	157	2869
62	159	2862
63	162	2860
64	164	2856
65	166	2850
66	169	2842
67	171	2835
68	173	2827
69	175	2822
70	178	2819
71	180	2811
72	182	2802
73	184	2796
74	187	2792
75	190	2799
76	193	2799
77	195	2794
78	197	2784
79	199	2779
80	202	2775
81	205	2778
82	207	2773
83	209	2768
84	212	2764
85	214	2757
86	217	2760
87	223	2802
88	226	2804
89	229	2810
90	231	2804
91	234	2800
92	236	2792
93	239	2796
94	242	2805
95	245	2808
96	248	2806
97	251	2810
98	254	2816
99	258	2820
100	262	2837
101	266	2847
102	269	2847
103	272	2855
104	275	2854
105	278	2856
106	281	2860
107	284	2860
108	287	2860
109	290	2863
110	293	2862
111	296	2857
112	298	2857
113	301	2854
114	303	2848
115	306	2849
116	309	2847
117	312	2848
118	315	2850
119	320	2861
120	325	2884
121	329	2889
122	333	2897
123	336	2904
124	340	2908
125	346	2936
126	349	2929
127	351	2926
128	354	2923
129	357	2927
130	360	2919
131	362	2915
132	364	2908
133	367	2900
134	369	2898
135	373	2899
136	376	2902
137	378	2896
138	381	2889
139	384	2890
140	386	2886
141	389	2880
142	391	2876
143	394	2877
144	397	2870
145	399	2863
146	401	2858
147	404	2853
148	407	2852
149	410	2856
150	413	2852
151	415	2847
152	417	2840
153	420	2835
154	423	2835
155	425	2829
156	428	2828
157	430	2822
158	433	2818
159	436	2816
160	439	2815
161	442	2814
162	445	2815
163	448	2811
164	450	2804
165	452	2799
166	454	2794
167	456	2787
168	459	2785
169	461	2779
170	464	2775
171	466	2770
172	469	2765
173	471	2758
174	474	2761
175	477	2759
176	479	2753
177	482	2750
178	485	2749
179	489	2754
180	491	2750
181	495	2751
182	498	2752
183	501	2749
184	505	2754
185	507	2749
186	510	2747
187	514	2748
188	517	2748
189	520	2747
190	522	2742
191	525	2741
192	529	2741
193	531	2735
194	533	2730
195	535	2724
196	538	2724
197	541	2719
198	543	2716
199	545	2710
200	547	2704
201	550	2700
202	552	2695
203	555	2691
204	557	2687
205	559	2682
206	562	2677
207	564	2671
208	566	2667
209	568	2662
210	570	2656
211	572	2651
212	575	2646
213	577	2641
214	580	2638
215	582	2635
216	589	2649
217	591	2645
218	594	2642
219	596	2639
220	599	2634
221	601	2630
222	603	2625
223	605	2620
224	608	2616
225	610	2611
226	612	2605
227	614	2600
228	616	2596
229	620	2596
230	622	2593
231	625	2589
232	627	2584
233	629	2581
234	632	2577
235	635	2575
236	637	2572
237	640	2569
238	642	2564
239	644	2559
240	646	2555
241	649	2551
242	651	2546
243	653	2543
244	656	2538
245	658	2534
246	660	2530
247	663	2527
248	665	2523
249	667	2518
250	670	2516
251	672	2511
252	674	2507
253	676	2502
254	679	2499
255	682	2496
256	684	2491
257	686	2487
