iter	RMSE
0	76156.42758
1	73156.49041
2	70255.12933
3	67861.78189
4	65317.21757
5	62919.5498
6	60705.32804
7	58693.54665
8	56741.28838
9	54817.13424
10	52929.83601
11	51185.63062
12	49754.25074
13	48228.1149
14	46833.49447
15	45520.6316
16	44127.53584
17	43016.56504
18	41973.24138
19	41020.06334
20	39989.78732
21	38976.68104
22	38286.80741
23	37511.38559
24	36730.34368
25	35900.34056
26	35176.89448
27	34452.78603
28	33840.42533
29	33153.93027
30	32660.10772
31	32156.42746
32	31638.89973
33	31149.02855
34	30675.40284
35	30284.93559
36	29860.36779
37	29477.29249
38	29081.47974
39	28754.85989
40	28463.88411
41	28116.05091
42	27815.10643
43	27592.23297
44	27268.04055
45	27021.21969
46	26784.41759
47	26582.13369
48	26309.20213
49	26160.03163
50	25920.72148
51	25667.01109
52	25441.42324
53	25238.74481
54	25005.87702
55	24829.24679
56	24621.17788
57	24462.17188
58	24250.90437
59	24094.8083
60	23998.62141
61	23938.00223
62	23801.92423
63	23659.50165
64	23543.73858
65	23504.36349
66	23372.89019
67	23292.91657
68	23157.92767
69	23017.63395
70	22893.1807
71	22862.27799
72	22683.75897
73	22648.6983
74	22552.93824
75	22443.46116
76	22325.19347
77	22237.73582
78	22126.46176
79	22030.76816
80	21896.53421
81	21796.17404
82	21759.23061
83	21678.04931
84	21552.20065
85	21470.67437
86	21375.60662
87	21242.13876
88	21129.4944
89	21019.28756
90	20964.83455
91	20844.32974
92	20808.67774
93	20688.52246
94	20577.26883
95	20519.87167
96	20422.52369
97	20380.65332
98	20313.26633
99	20275.78466
100	20199.85495
101	20174.5292
102	20082.63444
103	20001.35676
104	19920.92685
105	19843.75516
106	19816.87702
107	19798.48028
108	19718.79816
109	19693.73576
110	19646.07231
111	19588.42765
112	19486.54638
113	19411.71653
114	19312.03521
115	19276.10821
116	19216.51412
117	19194.22536
118	19112.60678
119	19054.51753
120	18991.20928
121	18973.60635
122	18937.84461
123	18910.68461
124	18893.58368
125	18875.22308
126	18797.61018
127	18715.54451
128	18633.65442
129	18607.00842
130	18570.85765
131	18554.38107
132	18495.78362
133	18471.53429
134	18416.31461
135	18398.2894
136	18384.83607
137	18364.53963
138	18341.54758
139	18272.91627
140	18203.80886
141	18153.11704
142	18138.61732
143	18122.35756
144	18100.87102
145	18031.85571
146	18015.24347
147	17917.81509
148	17853.56831
149	17798.58723
150	17736.59124
151	17728.13605
152	17650.59823
153	17634.15565
154	17613.43305
155	17599.79054
156	17529.01518
157	17455.58723
158	17414.75735
159	17382.35486
160	17368.80304
161	17314.76799
162	17266.86957
163	17254.16049
164	17245.0973
165	17179.06066
166	17167.67865
167	17134.41539
168	17104.51245
169	17095.98109
170	17084.74853
171	17058.73159
172	17047.59489
173	17001.38501
174	16993.46232
175	16937.28019
176	16889.02796
177	16878.80154
178	16845.3339
179	16835.81908
180	16796.47338
181	16747.09764
182	16715.95038
183	16679.61521
184	16622.8333
185	16567.84585
186	16517.51415
187	16509.06913
188	16503.68932
189	16438.15926
190	16378.72487
191	16319.77463
192	16289.58147
193	16279.30042
194	16242.91055
195	16190.83531
196	16144.97549
197	16123.14352
198	16115.46764
199	16073.15553
200	16067.91046
201	16060.39808
202	16019.6439
203	15978.24271
204	15956.40425
205	15925.7295
206	15920.80919
207	15889.9555
208	15839.69519
209	15800.58118
210	15795.96087
211	15742.54137
212	15714.6737
213	15658.19011
214	15650.70786
215	15615.99129
216	15574.02271
217	15538.63144
218	15494.5473
219	15490.81856
220	15484.4154
221	15478.42128
222	15415.24963
223	15391.24065
224	15362.01511
225	15318.75389
226	15295.44991
227	15259.55679
228	15238.88019
229	15198.16616
230	15194.33674
231	15151.67416
232	15120.30008
233	15114.71409
234	15065.4254
235	15032.69108
236	15029.45779
237	15017.8427
238	14964.05537
239	14929.5733
240	14924.00812
241	14888.11637
242	14883.48258
243	14869.06831
244	14866.09816
245	14843.21358
246	14839.01324
247	14835.68274
248	14832.8437
249	14823.953
250	14800.76523
251	14775.16861
252	14768.67149
253	14749.99612
254	14739.01438
255	14734.94726
256	14696.61534
257	14660.47622
258	14620.39536
259	14598.48555
260	14558.61674
261	14554.8774
262	14550.44142
263	14544.22226
264	14522.38099
265	14490.69136
266	14462.85037
267	14422.27722
268	14381.52675
269	14345.54217
