iter	Passed	Remaining
0	5	3876
1	7	2569
2	9	2005
3	10	1784
4	12	1630
5	14	1523
6	17	1667
7	20	1656
8	22	1591
9	23	1506
10	24	1433
11	25	1371
12	26	1317
13	28	1299
14	29	1262
15	30	1227
16	32	1220
17	33	1193
18	35	1191
19	36	1167
20	38	1159
21	39	1134
22	41	1134
23	42	1112
24	43	1091
25	44	1073
26	45	1058
27	46	1044
28	48	1047
29	49	1035
30	51	1035
31	52	1022
32	53	1016
33	55	1015
34	56	1006
35	57	995
36	58	985
37	60	978
38	61	970
39	62	962
40	63	956
41	64	950
42	65	941
43	67	934
44	68	927
45	69	926
46	71	927
47	72	921
48	73	915
49	75	910
50	76	904
51	77	898
52	79	904
53	80	901
54	81	897
55	83	893
56	84	889
57	85	884
58	88	895
59	89	892
60	90	887
61	91	882
62	93	881
63	94	875
64	96	881
65	98	879
66	99	874
67	100	871
68	103	880
69	105	883
70	106	882
71	108	879
72	109	874
73	110	869
74	112	869
75	113	868
76	114	864
77	115	859
78	116	854
79	118	855
80	120	855
81	121	852
82	122	848
83	123	844
84	125	844
85	127	846
86	128	843
87	130	842
88	132	843
89	133	842
90	136	847
91	138	851
92	140	853
93	143	857
94	146	866
95	149	874
96	152	880
97	153	876
98	155	876
99	159	888
100	161	890
101	163	888
102	165	890
103	166	887
104	168	883
105	171	889
106	174	897
107	176	898
108	178	895
109	179	893
110	181	892
111	183	890
112	185	891
113	187	892
114	189	894
115	191	894
116	193	892
117	194	888
118	196	886
119	198	886
120	200	886
121	202	885
122	204	887
123	206	885
124	207	882
125	208	878
126	210	877
127	211	874
128	214	876
129	215	875
130	218	877
131	220	875
132	223	880
133	226	885
134	229	889
135	231	886
136	232	884
137	234	882
138	236	880
139	238	879
140	240	878
141	242	879
142	244	877
143	245	873
144	247	872
145	248	871
146	250	867
147	251	864
148	252	860
149	253	856
150	254	853
151	256	851
152	257	848
153	258	845
154	259	841
155	261	839
156	262	836
157	263	832
158	265	830
159	267	829
160	268	828
161	269	824
162	270	820
163	272	817
164	274	817
165	275	814
166	276	812
167	278	811
168	280	809
169	282	808
170	283	805
171	285	806
172	287	803
173	289	802
174	291	801
175	292	799
176	293	796
177	295	795
178	296	792
179	297	789
180	298	786
181	300	783
182	301	780
183	302	777
184	303	774
185	304	771
186	306	769
187	307	766
188	308	763
189	310	762
190	311	759
191	312	757
192	314	755
193	316	754
194	318	754
195	321	756
196	323	756
197	325	753
198	326	751
199	327	749
200	329	746
201	330	744
202	331	741
203	332	739
204	334	737
205	335	734
206	336	732
207	338	729
208	339	727
209	340	724
210	341	721
211	342	719
212	343	716
213	345	714
214	346	711
215	347	709
216	348	707
217	349	704
218	352	705
219	353	702
220	355	700
221	356	698
222	357	695
223	358	693
224	359	690
225	361	689
226	363	688
227	365	687
228	366	685
229	367	682
230	368	680
231	370	678
232	371	675
233	373	674
234	374	672
235	375	670
236	376	667
237	377	665
238	379	663
239	380	661
240	381	659
241	383	657
242	384	655
243	386	653
244	387	651
245	388	649
246	389	646
247	390	644
248	392	643
249	395	643
250	397	643
251	398	640
252	399	638
253	400	636
254	402	633
255	403	631
256	404	629
257	405	627
258	406	625
259	408	623
260	409	621
261	411	621
262	413	619
263	414	617
264	415	615
265	417	613
266	419	612
267	421	611
268	424	613
269	427	612
270	428	610
271	430	609
272	432	608
273	435	609
274	438	609
275	440	608
276	441	606
277	443	604
278	444	602
279	445	600
280	447	598
281	448	596
282	450	594
283	451	592
284	452	590
285	454	589
286	456	588
287	457	586
288	459	585
289	461	583
290	462	581
291	463	579
292	465	578
293	468	578
294	471	578
295	472	576
296	475	576
297	477	575
298	478	573
299	480	571
300	481	569
301	483	567
302	484	565
303	485	563
304	487	562
305	488	560
306	489	558
307	490	556
308	492	554
309	493	552
310	495	550
311	496	549
312	498	547
313	499	545
314	501	544
315	502	542
316	503	540
317	505	538
318	506	536
319	507	534
320	508	532
321	509	530
322	511	528
323	512	526
324	513	524
325	515	522
326	516	521
327	517	519
328	518	517
329	522	517
330	524	516
331	527	515
332	528	514
333	529	512
334	530	510
335	532	508
336	533	507
337	535	505
338	536	503
339	538	501
340	539	500
341	542	499
342	544	498
343	546	496
344	547	495
345	549	493
346	551	492
347	553	491
348	554	489
349	556	488
350	557	486
351	558	484
352	560	482
353	561	480
354	562	478
355	563	476
356	565	475
357	566	473
358	568	471
359	569	470
360	571	468
361	572	466
362	573	464
363	575	463
364	577	462
365	578	460
366	580	458
367	583	457
368	584	456
369	586	455
370	588	453
371	589	451
372	590	449
373	591	447
374	592	445
375	594	444
376	595	442
377	596	440
378	598	438
379	600	437
380	601	436
381	603	434
382	605	432
383	606	431
384	607	429
385	609	428
386	611	426
387	613	425
388	614	423
389	616	421
390	617	419
391	618	418
392	620	416
393	622	415
394	624	414
395	627	413
396	628	411
397	630	410
398	632	408
399	634	407
400	635	405
401	638	404
402	640	403
403	642	402
404	644	401
405	646	399
406	651	399
407	653	398
408	656	398
409	659	397
410	662	396
411	666	396
412	667	394
413	669	392
414	671	391
415	672	389
416	674	387
417	675	386
418	677	384
419	678	383
420	680	381
421	681	379
422	682	377
423	684	375
424	685	374
425	687	372
426	688	370
427	690	369
428	691	367
429	692	365
430	693	363
431	694	361
432	695	360
433	697	358
434	699	356
435	701	355
436	703	353
437	704	352
438	705	350
439	706	348
440	707	346
441	709	344
442	710	343
443	711	341
444	712	339
445	714	337
446	715	336
447	717	334
448	718	333
449	720	331
450	721	329
451	722	327
452	724	326
453	725	324
454	726	322
455	727	320
456	729	319
457	730	317
458	732	315
459	735	314
460	736	313
461	737	311
462	739	309
463	741	308
464	742	306
465	743	304
466	744	303
467	746	301
468	748	299
469	749	298
470	751	296
471	752	294
472	754	293
473	755	291
474	756	289
475	757	288
476	759	286
477	760	284
478	762	283
479	763	281
480	764	279
481	765	278
482	767	276
483	768	274
484	770	273
485	771	271
486	773	270
487	774	268
488	775	266
489	777	264
490	778	263
491	781	261
492	782	260
493	783	258
494	785	256
495	786	255
496	787	253
497	788	251
498	790	250
499	792	248
500	794	247
501	796	245
502	797	244
503	799	242
504	800	240
505	802	239
506	804	237
507	806	236
508	807	234
509	809	233
510	810	231
511	811	229
512	813	228
513	814	226
514	815	224
515	816	223
516	818	221
517	819	219
518	820	218
519	822	216
520	823	215
521	824	213
522	826	211
523	827	209
524	828	208
525	829	206
526	831	205
527	832	203
528	833	201
529	835	200
530	837	198
531	838	196
532	840	195
533	841	193
534	842	192
535	843	190
536	844	188
537	846	187
538	848	185
539	849	184
540	851	182
541	852	180
542	853	179
543	854	177
544	856	175
545	858	174
546	860	173
547	861	171
548	862	169
549	864	168
550	865	166
551	866	164
552	867	163
553	868	161
554	870	159
555	871	158
556	873	156
557	875	155
558	876	153
559	877	152
560	879	150
561	882	149
562	885	147
563	888	146
564	890	144
565	892	143
566	894	141
567	904	141
568	906	140
569	908	138
570	911	137
571	913	135
572	915	134
573	917	132
574	919	131
575	921	129
576	924	128
577	926	126
578	928	125
579	931	123
580	933	122
581	935	120
582	937	118
583	939	117
584	941	115
585	942	114
586	944	112
587	946	111
588	947	109
589	949	107
590	951	106
591	953	104
592	955	103
593	956	101
594	958	99
595	960	98
596	962	96
597	964	95
598	966	93
599	968	91
600	972	90
601	974	89
602	975	87
603	976	85
604	985	84
605	995	83
606	997	82
607	999	80
608	1001	78
609	1003	77
610	1005	75
611	1008	74
612	1010	72
613	1011	70
614	1013	69
615	1016	67
616	1018	66
617	1020	64
618	1023	62
619	1025	61
620	1026	59
621	1028	57
622	1030	56
623	1032	54
624	1034	52
625	1037	51
626	1039	49
627	1041	48
628	1044	46
629	1048	44
630	1051	43
631	1052	41
632	1054	39
633	1055	38
634	1057	36
635	1058	34
636	1060	33
637	1061	31
638	1065	30
639	1066	28
640	1067	26
641	1069	24
642	1072	23
643	1074	21
644	1077	20
645	1079	18
646	1082	16
647	1085	15
648	1086	13
649	1090	11
650	1092	10
651	1094	8
652	1096	6
653	1099	5
654	1103	3
655	1105	1
656	1107	0
