iter	Logloss
0	0.6595145632
1	0.6331833142
2	0.6096505805
3	0.5893805981
4	0.5763355653
5	0.5603997444
6	0.5473508978
7	0.5352125104
8	0.5263436216
9	0.5177734441
10	0.5103486643
11	0.503023397
12	0.4957625611
13	0.4891082733
14	0.4835906663
15	0.4785701919
16	0.4732439807
17	0.4699456185
18	0.4666508341
19	0.4632481658
20	0.4602540411
21	0.4574607285
22	0.4547038275
23	0.4523355708
24	0.4500519193
25	0.4459749638
26	0.4444198339
27	0.4426078688
28	0.4409563189
29	0.4391917254
30	0.4376808348
31	0.4364476328
32	0.4334112126
33	0.4307883542
34	0.4299705394
35	0.4288435803
36	0.4279546464
37	0.4272415958
38	0.425632526
39	0.4248102127
40	0.4235736695
41	0.4215986101
42	0.4195741888
43	0.4178171541
44	0.4152723879
45	0.4140595547
46	0.4132032186
47	0.4119329005
48	0.4101149	0.49	0.4094526879
50	0.4083940556
51	0.4067222867
52	0.4061812955
53	0.4050754467
54	0.4046075427
55	0.4036024177
56	0.4026835902
57	0.4019491465
58	0.4013663064
59	0.3997743386
60	0.3994488378
61	0.3987510784
62	0.3978346318
63	0.3973803706
64	0.396780307
65	0.395982804
66	0.3956400311
67	0.3951776146
68	0.3947423729
69	0.3937814866
70	0.3933271	0.371	0.3928172	0.3918074497
73	0.3904927459
74	0.3900515042
75	0.3895358964
76	0.3892342114
77	0.388831477
78	0.3883989614
79	0.3879613677
80	0.3870623071
81	0.3860260177
82	0.3855471295
83	0.3846496152
84	0.3837124321
85	0.3832508153
86	0.3829418244
87	0.3822915611
88	0.381866954
89	0.3812906243
90	0.3807082071
91	0.3802704757
92	0.3789231656
93	0.378620779
94	0.3778186837
95	0.3773512404
96	0.3767421961
97	0.3763559557
98	0.3756215663
99	0.3745018689
717574
