iter	Passed	Remaining
0	3	303
1	14	727
2	18	598
3	20	486
4	21	400
5	23	366
6	40	532
7	42	485
8	43	443
9	45	409
10	47	385
11	49	364
12	52	349
13	54	336
14	56	319
15	57	301
16	60	294
17	61	282
18	63	270
19	67	269
20	69	259
21	70	250
22	72	242
23	74	234
24	77	233
25	79	227
26	81	220
27	83	213
28	85	210
29	128	299
30	142	316
31	148	314
32	159	323
33	162	315
34	164	305
35	166	295
36	168	287
37	170	278
38	173	271
39	175	263
40	177	255
41	183	253
42	192	254
43	195	249
44	197	241
45	199	234
46	201	227
47	203	220
48	207	49	249	214	214
50	219	210
51	225	208
52	227	201
53	230	196
54	231	189
55	233	183
56	237	178
57	239	173
58	241	167
59	242	161
60	249	159
61	251	154
62	259	152
63	262	147
64	264	142
65	265	136
66	267	131
67	269	126
68	271	121
69	273	117
70	275	71	271	276	72	285	105
73	293	103
74	295	98
75	297	94
76	299	89
77	301	84
78	303	80
79	305	76
80	307	72
81	309	67
82	310	63
83	312	59
84	313	55
85	315	51
86	318	47
87	325	44
88	329	40
89	331	36
90	333	32
91	334	29
92	337	25
93	339	21
94	341	17
95	343	14
96	346	10
97	348	7
98	349	3
99	352	0
	0
